Timestamp,SensorID,Temp,Humid,PH,EC,N,P,K,DateTime,Latitude,Longitude,Satellites,HDOP
13477,1,202,353,442,425,24,34,84,Invalid,Invalid,Invalid,0,0
16150,1,202,354,442,428,25,34,85,Invalid,Invalid,Invalid,0,0
18150,1,202,355,437,427,25,34,85,Invalid,Invalid,Invalid,0,0
20670,1,202,356,437,429,25,34,85,Invalid,Invalid,Invalid,0,0
22670,1,202,356,438,429,25,34,85,Invalid,Invalid,Invalid,0,0
25169,1,202,357,438,431,25,34,85,Invalid,Invalid,Invalid,0,0
27169,1,202,358,438,431,25,34,85,Invalid,Invalid,Invalid,0,0
29668,1,202,358,457,433,25,34,86,Invalid,Invalid,Invalid,0,0
31668,1,202,359,457,433,25,34,86,Invalid,Invalid,Invalid,0,0
51304,2,185,220,700,528,37,52,105,Invalid,Invalid,Invalid,0,0
53304,2,185,220,700,530,37,53,106,Invalid,Invalid,Invalid,0,0
58466,2,185,221,700,530,37,53,106,Invalid,Invalid,Invalid,0,0
60275,2,185,221,700,530,37,53,106,Invalid,Invalid,Invalid,0,0
62275,2,185,221,700,531,37,53,106,Invalid,Invalid,Invalid,0,0
64781,2,185,220,700,531,37,53,106,Invalid,Invalid,Invalid,0,0
84767,3,186,295,900,530,37,52,105,Invalid,Invalid,Invalid,0,0
87272,3,186,297,900,531,37,53,106,Invalid,Invalid,Invalid,0,0
89272,3,186,297,900,532,38,53,106,Invalid,Invalid,Invalid,0,0
91773,3,186,295,900,532,38,53,106,Invalid,Invalid,Invalid,0,0
93773,3,186,297,900,530,37,53,106,Invalid,Invalid,Invalid,0,0
96322,3,186,295,900,530,37,53,106,Invalid,Invalid,Invalid,0,0
98975,3,186,296,900,531,37,53,106,Invalid,Invalid,Invalid,0,0
