Timestamp,SensorID,Temp,Humid,PH,EC,N,P,K,DateTime,Latitude,Longitude,Satellites,HDOP
12590,1,172,249,437,227,15,20,52,Invalid,Invalid,Invalid,0,0
15239,1,172,249,438,229,15,20,52,Invalid,Invalid,Invalid,0,0
17239,1,172,249,438,228,15,20,52,Invalid,Invalid,Invalid,0,0
19735,1,172,249,457,229,15,20,52,Invalid,Invalid,Invalid,0,0
21735,1,172,249,457,228,15,20,52,Invalid,Invalid,Invalid,0,0
24246,1,172,249,457,229,15,20,52,Invalid,Invalid,Invalid,0,0
51332,2,143,254,700,50,3,5,10,Invalid,Invalid,Invalid,0,0
53332,2,143,254,700,49,3,4,9,Invalid,Invalid,Invalid,0,0
55834,2,144,253,700,49,3,4,9,Invalid,Invalid,Invalid,0,0
57834,2,145,254,700,51,3,5,10,Invalid,Invalid,Invalid,0,0
60331,2,146,252,700,51,3,5,10,Invalid,Invalid,Invalid,0,0
103356,3,147,301,700,28,2,2,5,Invalid,Invalid,Invalid,0,0
105356,3,147,301,700,28,2,2,5,Invalid,Invalid,Invalid,0,0
108846,3,147,301,700,28,2,2,5,Invalid,Invalid,Invalid,0,0
110535,3,147,301,700,28,2,2,5,Invalid,Invalid,Invalid,0,0
112535,3,147,301,700,28,2,2,5,Invalid,Invalid,Invalid,0,0
