Timestamp,SensorID,Temp,Humid,PH,EC,N,P,K,DateTime,Latitude,Longitude,Satellites,HDOP
35947,1,200,698,589,111,10,14,36,Invalid,Invalid,Invalid,0,0
38441,1,200,692,567,111,10,14,36,Invalid,Invalid,Invalid,0,0
40441,1,200,692,567,111,10,14,36,Invalid,Invalid,Invalid,0,0
42937,1,200,691,551,111,10,14,36,Invalid,Invalid,Invalid,0,0
44937,1,200,691,551,111,10,14,36,Invalid,Invalid,Invalid,0,0
48437,1,200,691,541,111,10,14,36,Invalid,Invalid,Invalid,0,0
119534,2,170,384,700,6,0,0,1,Invalid,Invalid,Invalid,0,0
120235,2,171,385,700,6,0,0,1,Invalid,Invalid,Invalid,0,0
122186,2,171,386,700,6,0,0,1,Invalid,Invalid,Invalid,0,0
124747,2,172,386,700,6,0,0,1,Invalid,Invalid,Invalid,0,0
126747,2,172,387,700,6,0,0,1,Invalid,Invalid,Invalid,0,0
159907,3,172,439,700,0,0,0,0,Invalid,Invalid,Invalid,0,0
161907,3,172,438,700,0,0,0,0,Invalid,Invalid,Invalid,0,0
166318,3,172,437,700,0,0,0,0,Invalid,Invalid,Invalid,0,0
167998,3,172,435,700,0,0,0,0,Invalid,Invalid,Invalid,0,0
169998,3,172,439,700,0,0,0,0,Invalid,Invalid,Invalid,0,0
