Timestamp,SensorID,Temp,Humid,PH,EC,N,P,K,DateTime,Latitude,Longitude,Satellites,HDOP
47928,1,194,478,496,112,10,14,36,Invalid,Invalid,Invalid,0,0
50421,1,194,478,496,112,10,14,36,Invalid,Invalid,Invalid,0,0
52421,1,194,477,479,112,10,14,36,Invalid,Invalid,Invalid,0,0
54927,1,194,476,479,112,10,14,36,Invalid,Invalid,Invalid,0,0
56927,1,194,476,465,112,10,14,36,Invalid,Invalid,Invalid,0,0
62102,1,193,476,465,112,10,14,36,Invalid,Invalid,Invalid,0,0
63908,1,193,475,454,112,10,14,36,Invalid,Invalid,Invalid,0,0
93646,2,168,408,700,11,0,1,2,Invalid,Invalid,Invalid,0,0
95514,2,169,406,700,11,0,1,2,Invalid,Invalid,Invalid,0,0
98167,2,170,407,700,11,0,1,2,Invalid,Invalid,Invalid,0,0
100967,2,171,407,700,11,0,1,2,Invalid,Invalid,Invalid,0,0
103545,2,171,406,700,11,0,1,2,Invalid,Invalid,Invalid,0,0
157846,3,171,417,700,9,0,0,1,Invalid,Invalid,Invalid,0,0
160357,3,172,417,700,9,0,0,1,Invalid,Invalid,Invalid,0,0
163975,3,172,408,700,9,0,0,1,Invalid,Invalid,Invalid,0,0
165850,3,172,406,700,9,0,0,1,Invalid,Invalid,Invalid,0,0
168494,3,172,404,700,9,0,0,1,Invalid,Invalid,Invalid,0,0
