Timestamp,SensorID,Temp,Humid,PH,EC,N,P,K,DateTime,Latitude,Longitude,Satellites,HDOP
50257,1,171,241,573,230,15,20,52,Invalid,Invalid,Invalid,0,0
54731,1,171,240,573,230,15,20,52,Invalid,Invalid,Invalid,0,0
56541,1,171,241,539,235,15,21,53,Invalid,Invalid,Invalid,0,0
58541,1,171,241,539,234,15,21,53,Invalid,Invalid,Invalid,0,0
61047,1,171,240,531,235,15,21,53,Invalid,Invalid,Invalid,0,0
65646,1,171,240,531,231,15,20,52,Invalid,Invalid,Invalid,0,0
107464,2,143,261,700,50,3,5,10,Invalid,Invalid,Invalid,0,0
109968,2,143,261,700,51,3,5,10,Invalid,Invalid,Invalid,0,0
111968,2,143,260,700,51,3,5,10,Invalid,Invalid,Invalid,0,0
114460,2,143,260,700,51,3,5,10,Invalid,Invalid,Invalid,0,0
116460,2,143,260,700,52,3,5,10,Invalid,Invalid,Invalid,0,0
121803,2,143,259,700,52,3,5,10,Invalid,Invalid,Invalid,0,0
122500,2,143,260,700,52,3,5,10,Invalid,Invalid,Invalid,0,0
124430,2,144,258,700,52,3,5,10,Invalid,Invalid,Invalid,0,0
127010,2,145,259,700,53,3,5,10,Invalid,Invalid,Invalid,0,0
185712,3,147,312,716,70,5,7,14,Invalid,Invalid,Invalid,0,0
188227,3,147,310,700,71,5,7,14,Invalid,Invalid,Invalid,0,0
190924,3,147,311,722,72,5,7,14,Invalid,Invalid,Invalid,0,0
192715,3,147,309,728,71,5,7,14,Invalid,Invalid,Invalid,0,0
197317,3,147,311,735,71,5,7,14,Invalid,Invalid,Invalid,0,0
199255,3,147,311,742,72,5,7,14,Invalid,Invalid,Invalid,0,0
