Timestamp,SensorID,Temp,Humid,PH,EC,N,P,K,DateTime,Latitude,Longitude,Satellites,HDOP
39595,1,175,497,531,235,15,21,53,Invalid,Invalid,Invalid,0,0
41595,1,175,497,531,235,15,21,53,Invalid,Invalid,Invalid,0,0
45859,1,175,495,527,235,15,21,53,Invalid,Invalid,Invalid,0,0
47670,1,175,495,527,235,15,21,53,Invalid,Invalid,Invalid,0,0
49670,1,175,493,517,235,15,21,53,Invalid,Invalid,Invalid,0,0
52161,1,175,494,517,235,15,21,53,Invalid,Invalid,Invalid,0,0
54161,1,174,493,517,235,15,21,53,Invalid,Invalid,Invalid,0,0
95351,2,147,376,711,90,6,9,18,Invalid,Invalid,Invalid,0,0
97351,2,147,376,700,91,6,9,18,Invalid,Invalid,Invalid,0,0
99871,2,147,374,700,90,6,9,18,Invalid,Invalid,Invalid,0,0
102562,2,147,373,700,91,6,9,18,Invalid,Invalid,Invalid,0,0
104562,2,147,373,700,90,6,9,18,Invalid,Invalid,Invalid,0,0
107056,2,147,373,700,90,6,9,18,Invalid,Invalid,Invalid,0,0
109056,2,147,373,700,88,6,8,17,Invalid,Invalid,Invalid,0,0
111578,2,147,373,700,90,6,8,17,Invalid,Invalid,Invalid,0,0
114401,2,147,372,700,89,6,8,17,Invalid,Invalid,Invalid,0,0
148432,3,147,377,700,74,5,7,14,Invalid,Invalid,Invalid,0,0
151095,3,147,377,700,74,5,7,14,Invalid,Invalid,Invalid,0,0
153095,3,147,379,700,73,5,7,14,Invalid,Invalid,Invalid,0,0
155608,3,147,377,700,72,5,7,14,Invalid,Invalid,Invalid,0,0
160166,3,147,378,700,74,5,7,14,Invalid,Invalid,Invalid,0,0
