Timestamp,SensorID,Temp,Humid,PH,EC,N,P,K,DateTime,Latitude,Longitude,Satellites,HDOP
33407,1,175,704,566,235,15,21,53,Invalid,Invalid,Invalid,0,0
35407,1,175,704,566,235,15,21,53,Invalid,Invalid,Invalid,0,0
37915,1,175,704,536,235,15,21,53,Invalid,Invalid,Invalid,0,0
41487,1,175,704,536,235,15,21,53,Invalid,Invalid,Invalid,0,0
45056,1,175,702,513,235,15,21,53,Invalid,Invalid,Invalid,0,0
46860,1,175,702,513,235,15,21,53,Invalid,Invalid,Invalid,0,0
48860,1,175,701,513,235,15,21,53,Invalid,Invalid,Invalid,0,0
108012,2,151,378,700,138,9,13,27,Invalid,Invalid,Invalid,0,0
110012,2,151,379,700,140,10,14,28,Invalid,Invalid,Invalid,0,0
115209,2,151,379,700,140,10,14,28,Invalid,Invalid,Invalid,0,0
117076,2,151,379,700,140,10,14,28,Invalid,Invalid,Invalid,0,0
119713,2,151,379,700,139,9,13,27,Invalid,Invalid,Invalid,0,0
162876,3,155,406,700,128,9,12,25,Invalid,Invalid,Invalid,0,0
164876,3,155,402,700,128,9,12,25,Invalid,Invalid,Invalid,0,0
167378,3,155,403,700,128,9,12,25,Invalid,Invalid,Invalid,0,0
169378,3,155,403,700,128,9,12,25,Invalid,Invalid,Invalid,0,0
171873,3,155,404,700,128,9,12,25,Invalid,Invalid,Invalid,0,0
