Timestamp,SensorID,Temp,Humid,PH,EC,N,P,K,DateTime,Latitude,Longitude,Satellites,HDOP
23529,1,181,154,555,116,10,14,36,Invalid,Invalid,Invalid,0,0
25529,1,181,153,555,116,10,14,36,Invalid,Invalid,Invalid,0,0
28035,1,181,153,531,116,10,14,36,Invalid,Invalid,Invalid,0,0
31707,1,181,153,511,116,10,14,36,Invalid,Invalid,Invalid,0,0
33585,1,181,153,511,116,10,14,36,Invalid,Invalid,Invalid,0,0
36214,1,181,153,511,116,10,14,36,Invalid,Invalid,Invalid,0,0
40783,1,181,152,494,116,10,14,36,Invalid,Invalid,Invalid,0,0
110224,3,150,180,712,0,0,0,0,Invalid,Invalid,Invalid,0,0
112031,3,151,180,712,0,0,0,0,Invalid,Invalid,Invalid,0,0
114031,3,152,180,719,0,0,0,0,Invalid,Invalid,Invalid,0,0
116539,3,153,180,719,0,0,0,0,Invalid,Invalid,Invalid,0,0
118539,3,153,180,726,0,0,0,0,Invalid,Invalid,Invalid,0,0
121043,3,153,180,732,0,0,0,0,Invalid,Invalid,Invalid,0,0
55418,2,155,159,700,0,0,0,0,Invalid,Invalid,Invalid,0,0
68020,2,155,160,700,0,0,0,0,Invalid,Invalid,Invalid,0,0
68725,2,155,159,700,0,0,0,0,Invalid,Invalid,Invalid,0,0
70642,2,155,159,700,0,0,0,0,Invalid,Invalid,Invalid,0,0
73227,2,155,159,700,0,0,0,0,Invalid,Invalid,Invalid,0,0
75227,2,155,159,700,0,0,0,0,Invalid,Invalid,Invalid,0,0
