Timestamp,SensorID,Temp,Humid,PH,EC,N,P,K,DateTime,Latitude,Longitude,Satellites,HDOP
37970,1,169,257,721,238,15,21,53,Invalid,Invalid,Invalid,0,0
40469,1,169,257,721,238,15,21,53,Invalid,Invalid,Invalid,0,0
42469,1,169,258,721,238,15,21,53,Invalid,Invalid,Invalid,0,0
44960,1,169,258,685,238,15,21,53,Invalid,Invalid,Invalid,0,0
46960,1,170,257,685,238,15,21,53,Invalid,Invalid,Invalid,0,0
49485,1,170,258,659,238,15,21,53,Invalid,Invalid,Invalid,0,0
52173,1,170,258,659,238,15,21,53,Invalid,Invalid,Invalid,0,0
93587,2,143,288,779,58,4,5,11,Invalid,Invalid,Invalid,0,0
95587,2,144,285,772,58,4,5,11,Invalid,Invalid,Invalid,0,0
98081,2,145,286,766,58,4,5,11,Invalid,Invalid,Invalid,0,0
100081,2,146,285,758,57,4,5,11,Invalid,Invalid,Invalid,0,0
102594,2,147,285,751,58,4,5,11,Invalid,Invalid,Invalid,0,0
137705,3,146,275,700,23,1,2,4,Invalid,Invalid,Invalid,0,0
140383,3,147,275,700,23,1,2,4,Invalid,Invalid,Invalid,0,0
142383,3,147,274,700,23,1,2,4,Invalid,Invalid,Invalid,0,0
144886,3,147,274,700,23,1,2,4,Invalid,Invalid,Invalid,0,0
149452,3,147,274,700,23,1,2,4,Invalid,Invalid,Invalid,0,0
151322,3,147,274,700,23,1,2,4,Invalid,Invalid,Invalid,0,0
