Timestamp,SensorID,Temp,Humid,PH,EC,N,P,K,DateTime,Latitude,Longitude,Satellites,HDOP
43280,1,197,446,568,128,11,15,39,Invalid,Invalid,Invalid,0,0
44981,1,197,447,568,132,11,15,39,Invalid,Invalid,Invalid,0,0
46981,1,197,449,539,132,11,15,39,Invalid,Invalid,Invalid,0,0
49479,1,197,449,539,133,11,15,39,Invalid,Invalid,Invalid,0,0
51479,1,197,451,518,132,11,15,39,Invalid,Invalid,Invalid,0,0
53977,1,197,451,518,133,11,15,39,Invalid,Invalid,Invalid,0,0
55977,1,196,452,518,134,11,15,39,Invalid,Invalid,Invalid,0,0
76469,2,159,412,748,11,0,1,2,Invalid,Invalid,Invalid,0,0
83035,2,159,415,789,11,0,1,2,Invalid,Invalid,Invalid,0,0
83737,2,159,415,789,11,0,1,2,Invalid,Invalid,Invalid,0,0
85541,2,159,416,776,11,0,1,2,Invalid,Invalid,Invalid,0,0
87541,2,160,424,768,11,0,1,2,Invalid,Invalid,Invalid,0,0
91018,2,162,427,749,11,0,1,2,Invalid,Invalid,Invalid,0,0
92708,2,162,427,743,11,0,1,2,Invalid,Invalid,Invalid,0,0
126219,3,166,428,734,11,0,1,2,Invalid,Invalid,Invalid,0,0
128735,3,166,430,734,11,0,1,2,Invalid,Invalid,Invalid,0,0
131416,3,166,429,734,11,0,1,2,Invalid,Invalid,Invalid,0,0
133416,3,166,427,726,11,0,1,2,Invalid,Invalid,Invalid,0,0
135917,3,166,428,726,11,0,1,2,Invalid,Invalid,Invalid,0,0
