Timestamp,SensorID,Temp,Humid,PH,EC,N,P,K,DateTime,Latitude,Longitude,Satellites,HDOP
39786,1,193,212,509,160,12,17,44,Invalid,Invalid,Invalid,0,0
42282,1,193,212,509,160,12,17,43,Invalid,Invalid,Invalid,0,0
44282,1,193,212,509,160,12,17,43,Invalid,Invalid,Invalid,0,0
46784,1,193,211,486,160,12,17,43,Invalid,Invalid,Invalid,0,0
48784,1,193,211,486,161,12,17,43,Invalid,Invalid,Invalid,0,0
51294,1,193,211,469,160,12,17,43,Invalid,Invalid,Invalid,0,0
85520,2,152,228,700,58,4,5,11,Invalid,Invalid,Invalid,0,0
87520,2,153,227,732,58,4,5,11,Invalid,Invalid,Invalid,0,0
90023,2,154,228,724,57,4,5,11,Invalid,Invalid,Invalid,0,0
92023,2,155,228,718,58,4,5,11,Invalid,Invalid,Invalid,0,0
94530,2,155,228,712,57,4,5,11,Invalid,Invalid,Invalid,0,0
96530,2,155,228,700,58,4,5,11,Invalid,Invalid,Invalid,0,0
99033,2,155,228,700,58,4,5,11,Invalid,Invalid,Invalid,0,0
136361,3,156,251,713,30,2,3,6,Invalid,Invalid,Invalid,0,0
139039,3,157,250,719,29,2,2,5,Invalid,Invalid,Invalid,0,0
142599,3,158,250,719,29,2,2,5,Invalid,Invalid,Invalid,0,0
144409,3,158,249,726,30,2,3,6,Invalid,Invalid,Invalid,0,0
146409,3,158,251,726,30,2,3,6,Invalid,Invalid,Invalid,0,0
