Timestamp,SensorID,Temp,Humid,PH,EC,N,P,K,DateTime,Latitude,Longitude,Satellites,HDOP
66940,1,172,417,593,236,15,21,53,Invalid,Invalid,Invalid,0,0
69446,1,172,416,593,236,15,21,53,Invalid,Invalid,Invalid,0,0
71446,1,172,416,575,236,15,21,53,Invalid,Invalid,Invalid,0,0
73944,1,172,415,575,236,15,21,53,Invalid,Invalid,Invalid,0,0
77604,1,172,415,560,236,15,21,53,Invalid,Invalid,Invalid,0,0
79468,1,172,414,560,236,15,21,53,Invalid,Invalid,Invalid,0,0
113616,2,147,358,700,123,8,12,24,Invalid,Invalid,Invalid,0,0
115616,2,147,357,700,123,8,12,24,Invalid,Invalid,Invalid,0,0
118116,2,147,358,700,121,8,12,24,Invalid,Invalid,Invalid,0,0
120116,2,147,359,700,123,8,12,24,Invalid,Invalid,Invalid,0,0
122622,2,147,357,700,123,8,12,24,Invalid,Invalid,Invalid,0,0
124622,2,147,356,700,122,8,12,24,Invalid,Invalid,Invalid,0,0
160369,3,147,367,700,87,6,8,17,Invalid,Invalid,Invalid,0,0
162369,3,147,366,700,87,6,8,17,Invalid,Invalid,Invalid,0,0
164882,3,147,367,700,87,6,8,17,Invalid,Invalid,Invalid,0,0
166882,3,147,366,700,87,6,8,17,Invalid,Invalid,Invalid,0,0
169378,3,147,366,700,89,6,8,17,Invalid,Invalid,Invalid,0,0
