Timestamp,SensorID,Temp,Humid,PH,EC,N,P,K,DateTime,Latitude,Longitude,Satellites,HDOP
38723,1,186,637,486,186,13,18,47,Invalid,Invalid,Invalid,0,0
40723,1,186,637,486,186,13,18,47,Invalid,Invalid,Invalid,0,0
43219,1,186,634,486,185,13,18,47,Invalid,Invalid,Invalid,0,0
45219,1,186,634,463,185,13,18,47,Invalid,Invalid,Invalid,0,0
49618,1,186,635,463,180,13,18,46,Invalid,Invalid,Invalid,0,0
51290,1,186,634,447,184,13,18,46,Invalid,Invalid,Invalid,0,0
53290,1,186,632,447,183,13,18,46,Invalid,Invalid,Invalid,0,0
93815,2,155,401,700,39,2,3,7,Invalid,Invalid,Invalid,0,0
94518,2,155,402,700,39,2,3,7,Invalid,Invalid,Invalid,0,0
96318,2,155,400,700,39,2,3,7,Invalid,Invalid,Invalid,0,0
98318,2,156,398,700,39,2,3,7,Invalid,Invalid,Invalid,0,0
100840,2,157,395,700,39,2,3,7,Invalid,Invalid,Invalid,0,0
103521,2,158,395,700,39,2,3,7,Invalid,Invalid,Invalid,0,0
145186,3,158,428,700,37,2,3,7,Invalid,Invalid,Invalid,0,0
149587,3,158,430,700,37,2,3,7,Invalid,Invalid,Invalid,0,0
151262,3,158,431,700,37,2,3,7,Invalid,Invalid,Invalid,0,0
153262,3,158,428,700,38,2,3,7,Invalid,Invalid,Invalid,0,0
155765,3,158,429,714,37,2,3,7,Invalid,Invalid,Invalid,0,0
157765,3,158,428,714,37,2,3,7,Invalid,Invalid,Invalid,0,0
