Timestamp,SensorID,Temp,Humid,PH,EC,N,P,K,DateTime,Latitude,Longitude,Satellites,HDOP
71080,1,169,250,572,238,15,21,53,Invalid,Invalid,Invalid,0,0
74667,1,169,250,556,238,15,21,53,Invalid,Invalid,Invalid,0,0
76537,1,169,250,556,238,15,21,53,Invalid,Invalid,Invalid,0,0
79189,1,169,249,556,238,15,21,53,Invalid,Invalid,Invalid,0,0
81986,1,169,249,541,238,15,21,53,Invalid,Invalid,Invalid,0,0
83670,1,169,249,541,238,15,21,53,Invalid,Invalid,Invalid,0,0
232414,2,155,243,700,42,3,4,8,Invalid,Invalid,Invalid,0,0
234414,2,155,243,700,42,3,4,8,Invalid,Invalid,Invalid,0,0
236916,2,155,243,700,41,2,4,8,Invalid,Invalid,Invalid,0,0
238916,2,155,243,700,41,2,4,8,Invalid,Invalid,Invalid,0,0
241413,2,155,241,700,42,3,4,8,Invalid,Invalid,Invalid,0,0
243413,2,155,243,700,42,3,4,8,Invalid,Invalid,Invalid,0,0
248585,2,155,243,700,41,2,4,8,Invalid,Invalid,Invalid,0,0
250398,2,155,242,700,41,2,4,8,Invalid,Invalid,Invalid,0,0
252398,2,155,242,700,41,2,4,8,Invalid,Invalid,Invalid,0,0
299119,3,155,282,746,99,7,9,19,Invalid,Invalid,Invalid,0,0
301119,3,155,281,746,98,7,9,19,Invalid,Invalid,Invalid,0,0
303631,3,155,283,746,99,7,9,19,Invalid,Invalid,Invalid,0,0
305631,3,155,283,746,99,7,9,19,Invalid,Invalid,Invalid,0,0
308127,3,155,282,746,99,7,9,19,Invalid,Invalid,Invalid,0,0
