Timestamp,SensorID,Temp,Humid,PH,EC,N,P,K,DateTime,Latitude,Longitude,Satellites,HDOP
48560,1,203,413,554,110,10,14,36,Invalid,Invalid,Invalid,0,0
50560,1,203,413,517,110,10,14,36,Invalid,Invalid,Invalid,0,0
53050,1,203,415,517,110,10,14,36,Invalid,Invalid,Invalid,0,0
55050,1,203,414,488,110,10,14,36,Invalid,Invalid,Invalid,0,0
57556,1,203,414,488,110,10,14,36,Invalid,Invalid,Invalid,0,0
59556,1,203,415,488,110,10,14,36,Invalid,Invalid,Invalid,0,0
63043,1,203,415,465,110,10,14,36,Invalid,Invalid,Invalid,0,0
94394,2,188,374,700,13,0,1,2,Invalid,Invalid,Invalid,0,0
96394,2,188,377,700,13,0,1,2,Invalid,Invalid,Invalid,0,0
98903,2,188,375,685,14,1,1,2,Invalid,Invalid,Invalid,0,0
100903,2,188,374,682,13,0,1,2,Invalid,Invalid,Invalid,0,0
103410,2,188,375,678,13,0,1,2,Invalid,Invalid,Invalid,0,0
105410,2,188,376,676,13,0,1,2,Invalid,Invalid,Invalid,0,0
142360,3,188,321,700,12,0,1,2,Invalid,Invalid,Invalid,0,0
144857,3,188,322,700,12,0,1,2,Invalid,Invalid,Invalid,0,0
146857,3,188,327,700,12,0,1,2,Invalid,Invalid,Invalid,0,0
149362,3,188,327,700,12,0,1,2,Invalid,Invalid,Invalid,0,0
151362,3,188,328,700,12,0,1,2,Invalid,Invalid,Invalid,0,0
