EC,K,N,P,PH,SensorID,soil_type
218.0,53.0,15.0,21.0,442.1111111111111,1,89011_20ml
50.3,9.4,3.1,4.25,715.8,2,89011_20ml
47.857142857142854,9.0,3.0,4.0,900.0,3,89011_20ml
0.0,0.0,0.0,0.0,796.125,1,89015_0ml
0.0,0.0,0.0,0.0,700.0,2,89015_0ml
0.0,0.0,0.0,0.0,700.0,3,89015_0ml
109.125,36.0,10.0,14.0,511.5,1,89015_10ml
0.0,0.0,0.0,0.0,729.8,2,89015_10ml
0.0,0.0,0.0,0.0,900.0,3,89015_10ml
110.0,36.0,10.0,14.0,512.4285714285714,1,89015_20ml
8.0,1.0,0.0,0.0,785.8571428571429,2,89015_20ml
6.0,1.0,0.0,0.0,900.0,3,89015_20ml
144.9,41.0,12.0,16.0,591.1,1,bbsa_0ml
12.0,2.0,0.0,1.0,900.0,2,bbsa_0ml
12.125,2.0,0.0,1.0,900.0,3,bbsa_0ml
429.55555555555554,85.11111111111111,24.88888888888889,34.0,442.8888888888889,1,bbsa_25ml
530.0,105.83333333333331,37.0,52.833333333333336,700.0,2,bbsa_25ml
530.8571428571429,105.85714285714286,37.285714285714285,52.857142857142854,900.0,3,bbsa_25ml
805.5384615384615,143.84615384615384,42.0,57.46153846153846,445.6923076923077,1,bbsa_50ml
831.0,165.83333333333334,59.0,82.66666666666667,900.0,2,bbsa_50ml
749.7,149.2,53.2,74.5,900.0,3,bbsa_50ml
875.7777777777778,155.55555555555554,45.22222222222222,62.333333333333336,539.0,1,bbsa_75ml
883.125,175.25,62.25,87.25,874.875,2,bbsa_75ml
810.25,161.625,57.5,80.625,855.125,3,bbsa_75ml
834.25,149.5,43.5,60.0,441.0,1,bbsa_99ml
808.25,161.25,57.5,80.625,725.0,2,bbsa_99ml
917.25,182.125,65.25,90.875,700.0,3,bbsa_99ml
0.0,0.0,0.0,0.0,789.0,1,town_0ml
0.0,0.0,0.0,0.0,765.4,2,town_0ml
0.0,0.0,0.0,0.0,700.0,3,town_0ml
10.236842105263158,7.263157894736843,2.026315789473684,2.710526315789474,543.1315789473684,1,town_25ml
4.3023255813953485,0.6976744186046512,0.0,0.0,789.1395348837209,2,town_25ml
8.363636363636363,1.0,0.0,0.0,799.9090909090909,3,town_25ml
273.3333333333333,61.333333333333336,18.0,24.0,447.0,1,town_70ml
237.33333333333337,47.142857142857146,16.476190476190474,23.19047619047619,814.3809523809524,2,town_70ml
215.21428571428572,42.642857142857146,15.0,21.0,700.0,3,town_70ml
0.0,0.0,0.0,0.0,437.3333333333333,1,town_99ml
161.33333333333334,32.0,11.0,16.0,833.0,2,town_99ml
168.04,32.72,11.32,15.96,812.44,3,town_99ml
,M,L,vL,L,Lab(Rating),89011_20ml
,146.12,0.18,1.73,5.27,Lab(Value),89011_20ml
,,,,,4,89011_20ml
,,,,4.98,phProbe,89011_20ml
,L,vL,vH,L,Lab(Rating),89015_20ml
,58.38,0.06,88.69,5.03,Lab(Value),89015_20ml
,1,0,0,6.52,4,89015_20ml
,,,,5.45,phProbe,89015_20ml
,,L,vH,,Lab(Rating),bbsa_75ml
,,276,346.5,6.47,Lab(Value),bbsa_75ml
,232,81,114,6.52,4,bbsa_75ml
,,,,8.8,phProbe,bbsa_75ml
,,L,vH,,Lab(Rating),town_70ml
,,233,396.3,5.42,Lab(Value),town_70ml
,68,24,34,6.79,4,town_70ml
,,,,7.45,phProbe,town_70ml
